time_s,stage,Ip_MA,loop_voltage_V,loop_voltage_required_V,loop_voltage_cs_V,loop_voltage_inductive_V,loop_voltage_resistive_V,plasma_inductance_H,plasma_resistance_ohm,electron_temperature_eV,flux_consumed_Wb,stage_3_flux_used_Wb,flux_remaining_Wb,flux_margin_fraction,q95,internal_inductance,poloidal_beta,Bv_required_T,pf_balance_residual,x_point_residual,strike_point_residual,vertical_stability_margin,vs_reserved_fraction,major_radius_m,minor_radius_m,elongation,triangularity,vertical_position_m,lower_x_point_R_m,lower_x_point_Z_m,strike_point_lower_outer_R_m,strike_point_lower_outer_Z_m,strike_point_lower_inner_R_m,strike_point_lower_inner_Z_m,I_CS1_kA,I_CS2_kA,I_CS3_kA,I_PF1_kA,I_PF2_kA,I_PF3_kA,I_PF4_kA,I_Div1_kA,I_Div2_kA,I_VS_bias_kA,note
3.0,flattop,8.7,1.0087827958136855,1.0087827958136855,-0.0,0.13878279581368544,0.87,3.8283200305624895e-06,1e-07,3063.6396103067896,45.5,0.0,74.5,0.6208333333333333,3.2,0.78,0.3673205080756887,1.1822907827510218,0.0,0.0044999999999999485,0.0,0.36,0.7,1.85,0.57,1.75,0.35,0.0,1.55,-1.0455,1.72,-1.18,1.22,-1.1,8.0,6.5,5.0,10.5,12.0,8.5,-7.0,1.2,-1.2,0.0,flattop_start_from_rampup
3.02,flattop,8.700125650477215,1.0109448387833528,1.0109448387833528,1.009863817298519,0.13874592385597617,0.8721989149273767,3.828583780640363e-06,1.0025130095443337e-07,3065.2187817168337,45.52019727634597,0.020197276345967907,74.47980272365403,0.620665022697117,3.2003118272313,0.7802513009544334,0.36756633902805314,1.1824369471337908,0.0,0.0045,0.0023592965775054665,0.35998718365132387,0.7,1.8500376951431652,0.5700376951431649,1.75,0.35,3.7695143165006255e-05,1.550113085429495,-1.0455014211482252,1.722506664671286,-1.18,1.2174933353287138,-1.1,7.99540970992137,6.4938796132284935,4.99540970992137,10.5,12.0,8.5,-7.0,1.2047069714236243,-1.2035504673883357,0.0,flattop_minimum_physics_hold
3.04,flattop,8.700251221590898,1.0130215486840828,1.0130215486840828,1.0119831937337178,0.13862504461877742,0.8743965040653053,3.8288473808825075e-06,1.005024431817977e-07,3066.756759546487,45.540436940220644,0.040436940220644146,74.45956305977936,0.6204963588314947,3.2006234618927114,0.7805024431817977,0.367801074704181,1.1825778748274463,0.0,0.004500000000000001,0.004681385638608124,0.3599743753977283,0.7,1.8500753664772698,0.5700753664772696,1.75,0.35,7.53664772696544e-05,1.5502260994318091,-1.045505683695273,1.724973797743297,-1.18,1.2150262022567029,-1.1,7.9908097863134895,6.487746381751319,4.9908097863134895,10.5,12.0,8.5,-7.0,1.2093397110960895,-1.2070449417850109,0.0,flattop_minimum_physics_hold
3.06,flattop,8.70037663402764,1.0150079458898214,1.0150079458898214,1.014014747286952,0.13841656669974584,0.8765913791900756,3.829110664745007e-06,1.0075326805527932e-07,3068.252572375985,45.560717235166386,0.060717235166386274,74.43928276483362,0.6203273563736135,3.200934707135627,0.7807532680552793,0.3680245668399882,1.1827134769092702,0.0,0.004500000000000019,0.006929646451665769,0.3599615833291807,0.7,1.850112990208292,0.5701129902082919,1.75,0.35,0.00011299020829189916,1.5503389706248758,-1.0455127849488273,1.7273624910536935,-1.18,1.2126375089463064,-1.1,7.986200628371276,6.481600837828368,4.986200628371276,10.5,12.0,8.5,-7.0,1.2138251579452963,-1.2104283132412923,0.0,flattop_minimum_physics_hold
3.08,flattop,8.700501808574256,1.0169027555150427,1.0169027555150427,1.015955350702432,0.13812060184187105,0.8787821536731717,3.829373465852171e-06,1.0100361714851215e-07,3069.7052754178862,45.58103634218043,0.08103634218043254,74.41896365781957,0.6201580304818298,3.2012453663491427,0.7810036171485122,0.3682366742730515,1.1828436678192842,0.0,0.004500000000000012,0.009068622600610463,0.35994881552542585,0.7,1.8501505425722768,0.5701505425722768,1.75,0.35,0.00015054257227682248,1.5504516277168305,-1.0455227204235842,1.7296350734820343,-1.18,1.2103649265179657,-1.1,7.981582649504447,6.475443532672595,4.981582649504447,10.5,12.0,8.5,-7.0,1.218092573794957,-1.2136472239681861,0.0,flattop_minimum_physics_hold
3.1,flattop,8.700626666167821,1.0187047605560977,1.0187047605560977,1.01780375803557,0.13773731719824925,0.8809674433578484,3.829635618101829e-06,1.0125333233564304e-07,3071.113951113812,45.601392417341145,0.10139241734114535,74.39860758265885,0.6199883965221571,3.20155524328429,0.7812533323356431,0.36843726303177,1.182968365414068,0.0,0.004499999999999993,0.011064581153810989,0.35993608005088223,0.7,1.8501879998503465,0.5701879998503464,1.75,0.35,0.00018799985034645655,1.5505639995510394,-1.045535483844085,1.7317557050458494,-1.18,1.2082442949541505,-1.1,7.976956268786104,6.4692750250481375,4.976956268786104,10.5,12.0,8.5,-7.0,1.2220746589478915,-1.2166509098206453,0.0,flattop_minimum_physics_hold
3.12,flattop,8.700751127945603,1.0204128027114245,1.0204128027114245,1.0195587816337612,0.13726693527697703,0.8831458674344476,3.8298969557705285e-06,1.0150225589120757e-07,3072.477709714001,45.62178359297382,0.12178359297382002,74.37821640702617,0.6198184700585514,3.201864142178078,0.7815022558912076,0.3686262064199844,1.18308749101842,0.0,0.004500000000000032,0.012886044652555575,0.3599233849495484,0.7,1.8502253383836813,0.5702253383836811,1.75,0.35,0.00022533838368113578,1.5506760151510435,-1.0455510671486794,1.7336909421185738,-1.18,1.2063090578814262,-1.1,7.972321910687769,6.463095880917024,4.972321910687769,10.5,12.0,8.5,-7.0,1.2257086135424555,-1.2193920008784616,0.0,flattop_minimum_physics_hold
3.14,flattop,8.700875115294876,1.0220257831640471,1.0220257831640471,1.0212192929377357,0.13670973385015195,0.8853160493138952,3.8301573136185685e-06,1.0175023058975276e-07,3073.795689839291,45.64220797883257,0.1422079788325732,74.35779202116743,0.6196482668430618,3.202171867877235,0.7817502305897528,0.368803385097001,1.1832009694748318,0.0,0.004499999999999977,0.014504287529379432,0.35991073823992265,0.7,1.850262534588463,0.5702625345884629,1.75,0.35,0.00026253458846291433,1.5507876037653887,-1.0455694604946186,1.7354102648555159,-1.18,1.204589735144484,-1.1,7.967680004810779,6.456906673081037,4.967680004810779,10.5,12.0,8.5,-7.0,1.2289371279438739,-1.2218272684982046,0.0,flattop_minimum_physics_hold
3.16,flattop,8.700998549902572,1.023542663326121,1.023542663326121,1.022784223245084,0.13606604582729495,0.8874766174988262,3.83041652699481e-06,1.0199709980514406e-07,3075.0670590251852,45.66266366329747,0.16266366329747228,74.33733633670252,0.6194778028058543,3.2024782259615905,0.7819970998051441,0.3689686871529698,1.1833087291907476,0.0,0.004500000000000102,0.01589378912742351,0.3598981479099376,0.7,1.8502995649707716,0.5702995649707716,1.75,0.35,0.0002995649707716108,1.550898694912315,-1.0455906522642708,1.7368865585100404,-1.18,1.2031134414899596,-1.1,7.9630309856142105,6.450707980818946,4.9630309856142105,10.5,12.0,8.5,-7.0,1.231709286551415,-1.2239183070547528,0.0,flattop_minimum_physics_hold
3.18,flattop,8.701121353804746,1.0249624655433855,1.0249624655433855,1.0242525644347533,0.135336259091604,0.8896262064517816,3.830674431941195e-06,1.022427076094938e-07,3076.2910142476576,45.68314871458617,0.18314871458616722,74.31685128541383,0.6193070940451153,3.202783022867018,0.7822427076094939,0.3691220081795694,1.1834107021835747,0.0,0.004500000000000067,0.01703263617643859,0.3598856219119158,0.7,1.8503364061414243,0.570336406141424,1.75,0.35,0.00033640614142407203,1.5510092184242723,-1.0456146290724604,1.7380965410493203,-1.18,1.2019034589506796,-1.1,7.9583752921395075,6.444500389519341,4.9583752921395075,10.5,12.0,8.5,-7.0,1.2339813707678302,-1.2256321396209433,0.0,flattop_minimum_physics_hold
